"ID" "State_code" "State" "Municipality" "Latitude" "Longitude" "Year" "Pollutant" "Agency" "Emission_estimate_(Gg)" "Lower_bound_(Gg)" "Upper_bound_(Gg)" "Product" "Industry"
83 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "CO" "EPA" 0.0208059784 0.0208059784 0.0208059784 "Portland cement" "Cement"
84 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "CO" "EPA" 0.0197739248 0.0197739248 0.0197739248 "Portland cement" "Cement"
85 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "CO" "EPA" 0.018861544 0.018861544 0.018861544 "Portland cement" "Cement"
86 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "CO" "EPA" 0.0176033832 0.0176033832 0.0176033832 "Portland cement" "Cement"
87 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "CO" "EPA" 0.0175808232 0.0175808232 0.0175808232 "Portland cement" "Cement"
88 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "CO" "EPA" 0.0190072968 0.0190072968 0.0190072968 "Portland cement" "Cement"
89 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "CO" "EPA" 0.022323012 0.022323012 0.022323012 "Portland cement" "Cement"
90 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "CO" "EPA" 0.0118675976 0.0118675976 0.0118675976 "Portland cement" "Cement"
91 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "NMVOCs" "EPA" 0.0324308551555555 0.0324308551555555 0.0324308551555555 "Portland cement" "Cement"
92 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "NMVOCs" "EPA" 0.0340986868222222 0.0340986868222222 0.0340986868222222 "Portland cement" "Cement"
93 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "NMVOCs" "EPA" 0.0324072656444444 0.0324072656444444 0.0324072656444444 "Portland cement" "Cement"
94 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "NMVOCs" "EPA" 0.0309119748888889 0.0309119748888889 0.0309119748888889 "Portland cement" "Cement"
95 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "NMVOCs" "EPA" 0.0288499891333333 0.0288499891333333 0.0288499891333333 "Portland cement" "Cement"
96 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "NMVOCs" "EPA" 0.0288130158 0.0288130158 0.0288130158 "Portland cement" "Cement"
97 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "NMVOCs" "EPA" 0.0311508475333333 0.0311508475333333 0.0311508475333333 "Portland cement" "Cement"
98 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "NMVOCs" "EPA" 0.0365849363333333 0.0365849363333333 0.0365849363333333 "Portland cement" "Cement"
99 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "NMVOCs" "EPA" 0.0194496738444444 0.0194496738444444 0.0194496738444444 "Portland cement" "Cement"
100 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "SOX" "EPA" 0.0890474328 0.0890474328 0.0890474328 "Portland cement" "Cement"
