ID	Year	Latitude	Longitude	Production
409	2022	-21,182722	-44	577745,9375
410	2022	-16,680796	-44	577745,9375
411	2022	-19,608196	-44	577745,9375
412	2022	-19,810343	-44	577745,9375
413	2022	-20,899453	-44	577745,9375
414	2022	-20,761326	-47	577745,9375
415	2014	-25,458566	-50	2067482,556
416	2014	-24,66823	-49	2067482,556
417	2014	-25,192063	-49	2067482,556
418	2015	-25,458566	-50	2009431,111
419	2015	-24,66823	-49	2009431,111
420	2015	-25,192063	-49	2009431,111
421	2016	-25,458566	-50	2103539,556
422	2016	-24,66823	-49	2103539,556
423	2016	-25,192063	-49	2103539,556
424	2017	-25,458566	-50	1951830,667
425	2017	-24,66823	-49	1951830,667
426	2017	-25,192063	-49	1951830,667
427	2018	-25,458566	-50	2004643,222
428	2018	-24,66823	-49	2004643,222
429	2018	-25,192063	-49	2004643,222
430	2019	-25,458566	-50	2057517
431	2019	-24,66823	-49	2057517
432	2019	-25,192063	-49	2057517
433	2020	-25,458566	-50	2296444,556
434	2020	-24,66823	-49	2296444,556
435	2020	-25,192063	-49	2296444,556
436	2021	-25,458566	-50	2626440
437	2021	-24,66823	-49	2626440
438	2021	-25,192063	-49	2626440
439	2022	-25,458566	-50	1482245,333
440	2022	-24,66823	-49	1482245,333
441	2022	-25,192063	-49	1482245,333
442	2014	-7,476009	-35	580800,3889
443	2014	-7,371946	-35	580800,3889
444	2014	-7,127164	-35	580800,3889
445	2014	-7,523418	-35	580800,3889
446	2015	-7,476009	-35	514111,8056
447	2015	-7,371946	-35	514111,8056
448	2015	-7,127164	-35	514111,8056
449	2015	-7,523418	-35	514111,8056
450	2016	-7,476009	-35	619387,1111
451	2016	-7,371946	-35	619387,1111
452	2016	-7,127164	-35	619387,1111
453	2016	-7,523418	-35	619387,1111
454	2017	-7,476009	-35	617123,2222
455	2017	-7,371946	-35	617123,2222
456	2017	-7,127164	-35	617123,2222
457	2017	-7,523418	-35	617123,2222
458	2018	-7,476009	-35	633090,3333
459	2018	-7,371946	-35	633090,3333
460	2018	-7,127164	-35	633090,3333
461	2018	-7,523418	-35	633090,3333
462	2019	-7,476009	-35	753547
463	2019	-7,371946	-35	753547
464	2019	-7,127164	-35	753547
465	2019	-7,523418	-35	753547
466	2020	-7,476009	-35	878952,0833
467	2020	-7,371946	-35	878952,0833
468	2020	-7,127164	-35	878952,0833
469	2020	-7,523418	-35	878952,0833
470	2021	-7,476009	-35	931137,5833
471	2021	-7,371946	-35	931137,5833
472	2021	-7,127164	-35	931137,5833
473	2021	-7,523418	-35	931137,5833
474	2022	-7,476009	-35	524544,3611
475	2022	-7,371946	-35	524544,3611
476	2022	-7,127164	-35	524544,3611
477	2022	-7,523418	-35	524544,3611
478	2014	-1,215072	-47	532307,3333
479	2014	-4,32251	-56	532307,3333
480	2014	-0,981969	-47	532307,3333
481	2015	-1,215072	-47	424080,3333
482	2015	-4,32251	-56	424080,3333
483	2015	-0,981969	-47	424080,3333
484	2016	-1,215072	-47	495466,3333
485	2016	-4,32251	-56	495466,3333
486	2016	-0,981969	-47	495466,3333
487	2017	-1,215072	-47	444354,6667
488	2017	-4,32251	-56	444354,6667
489	2017	-0,981969	-47	444354,6667
490	2018	-1,215072	-47	316918,8095
491	2018	-4,32251	-56	316918,8095
492	2018	-0,981969	-47	316918,8095
493	2019	-1,215072	-47	280477,5714
494	2019	-4,32251	-56	280477,5714
495	2019	-0,981969	-47	280477,5714
496	2020	-1,215072	-47	271167,3333
497	2020	-4,32251	-56	271167,3333
498	2020	-0,981969	-47	271167,3333
499	2021	-1,215072	-47	295213,6667
500	2021	-4,32251	-56	295213,6667
501	2021	-0,981969	-47	295213,6667
502	2022	-1,215072	-47	173174,5238
503	2022	-4,32251	-56	173174,5238
504	2022	-0,981969	-47	173174,5238
505	2014	-8,348061	-35	249845,7111
506	2014	-8,271973	-35	249845,7111
507	2014	-7,515939	-35	249845,7111
508	2014	-7,802184	-38	249845,7111
509	2014	-7,874628	-35	249845,7111
510	2015	-8,348061	-35	197205,2444
511	2015	-8,271973	-35	197205,2444
512	2015	-7,515939	-35	197205,2444
513	2015	-7,802184	-38	197205,2444
514	2015	-7,874628	-35	197205,2444
515	2016	-8,348061	-35	136568,0889
516	2016	-8,271973	-35	136568,0889
517	2016	-7,515939	-35	136568,0889
518	2016	-7,802184	-38	136568,0889
519	2016	-7,874628	-35	136568,0889
520	2017	-8,348061	-35	108204,3778
521	2017	-8,271973	-35	108204,3778
522	2017	-7,515939	-35	108204,3778
523	2017	-7,802184	-38	108204,3778
524	2017	-7,874628	-35	108204,3778
525	2018	-8,348061	-35	88544,66667
526	2018	-8,271973	-35	88544,66667
527	2018	-7,515939	-35	88544,66667
528	2018	-7,802184	-38	88544,66667
529	2018	-7,874628	-35	88544,66667
530	2019	-8,348061	-35	103423,6
531	2019	-8,271973	-35	103423,6
532	2019	-7,515939	-35	103423,6
533	2019	-7,802184	-38	103423,6
534	2019	-7,874628	-35	103423,6
