ID	Year	Latitude	Longitude	Production
581	1992	-22,72	-43,27	4081669,8
582	1993	-22,72	-43,27	3676299,65
583	1994	-22,72	-43,27	3484519,03
584	1995	-22,72	-43,27	3019433,1
585	1996	-22,72	-43,27	4232166,19
586	1997	-22,72	-43,27	3649426,55
587	1998	-22,72	-43,27	4456283,33
588	1999	-22,72	-43,27	4510802,09
589	2000	-22,72	-43,27	4003805,89
590	2001	-22,72	-43,27	4128509,58
591	2002	-22,72	-43,27	4158845,51
592	2003	-22,72	-43,27	4226202,9
593	2004	-22,72	-43,27	4708632,95
594	2005	-22,72	-43,27	4596885,18
595	2006	-22,72	-43,27	4714684,3
596	2007	-22,72	-43,27	4522293,55
597	2008	-22,72	-43,27	4790739,28
598	2009	-22,72	-43,27	4492984,74
599	2010	-22,72	-43,27	4763940,92
600	2011	-22,72	-43,27	4669595,73
601	2012	-22,72	-43,27	4893751,35
602	2013	-22,72	-43,27	5232959,95
603	2014	-22,72	-43,27	5110845,15
604	2015	-22,72	-43,27	4313101,84
605	2016	-22,72	-43,27	4196022,37
606	2017	-22,72	-43,27	3858136,52
607	2018	-22,72	-43,27	4130751,04
608	2019	-22,72	-43,27	4126594,46
609	2020	-22,72	-43,27	3920180,71
610	2021	-22,72	-43,27	4055164,11
611	2022	-22,72	-43,27	4455992,88
612	2023	-22,72	-43,27	798716,41
613	1990	-22,72	-43,27	1817260,56
614	1991	-22,72	-43,27	1884641,4
615	1992	-22,72	-43,27	1985677,2
616	1993	-22,72	-43,27	1788470,1
617	1994	-22,72	-43,27	1695171,42
618	1995	-22,72	-43,27	1468913,4
619	1996	-22,72	-43,27	2058891,66
620	1997	-22,72	-43,27	1775396,7
621	1998	-22,72	-43,27	2167921,62
622	1999	-22,72	-43,27	2194444,26
623	2000	-22,72	-43,27	1947797,46
624	2001	-22,72	-43,27	2008464,12
625	2002	-22,72	-43,27	2023222,14
626	2003	-22,72	-43,27	2055990,6
627	2004	-22,72	-43,27	2290686,3
628	2005	-22,72	-43,27	2236322,52
629	2006	-22,72	-43,27	2293630,2
630	2007	-22,72	-43,27	2200034,7
631	2008	-22,72	-43,27	2330629,92
632	2009	-22,72	-43,27	2185776,36
633	2010	-22,72	-43,27	2317592,88
634	2011	-22,72	-43,27	2271695,22
635	2012	-22,72	-43,27	2380743,9
636	2013	-22,72	-43,27	2545764,3
637	2014	-22,72	-43,27	2486357,1
638	2015	-22,72	-43,27	2098265,76
639	2016	-22,72	-43,27	2041308,18
640	2017	-22,72	-43,27	1876931,28
641	2018	-22,72	-43,27	2009554,56
642	2019	-22,72	-43,27	2007532,44
643	2020	-22,72	-43,27	1907114,94
644	2021	-22,72	-43,27	1972782,54
645	2022	-22,72	-43,27	2167780,32
646	2023	-22,72	-43,27	388564,74
647	1990	-22,72	-43,27	3634521,12
648	1991	-22,72	-43,27	3769282,8
649	1992	-22,72	-43,27	3971354,4
650	1993	-22,72	-43,27	3576940,2
651	1994	-22,72	-43,27	3390342,84
652	1995	-22,72	-43,27	2937826,8
653	1996	-22,72	-43,27	4117783,32
654	1997	-22,72	-43,27	3550793,4
655	1998	-22,72	-43,27	4335843,24
656	1999	-22,72	-43,27	4388888,52
657	2000	-22,72	-43,27	3895594,92
658	2001	-22,72	-43,27	4016928,24
659	2002	-22,72	-43,27	4046444,28
660	2003	-22,72	-43,27	4111981,2
661	2004	-22,72	-43,27	4581372,6
662	2005	-22,72	-43,27	4472645,04
663	2006	-22,72	-43,27	4587260,4
664	2007	-22,72	-43,27	4400069,4
665	2008	-22,72	-43,27	4661259,84
666	2009	-22,72	-43,27	4371552,72
667	2010	-22,72	-43,27	4635185,76
668	2011	-22,72	-43,27	4543390,44
669	2012	-22,72	-43,27	4761487,8
670	2013	-22,72	-43,27	5091528,6
671	2014	-22,72	-43,27	4972714,2
672	2015	-22,72	-43,27	4196531,52
673	2016	-22,72	-43,27	4082616,36
674	2017	-22,72	-43,27	3753862,56
675	2018	-22,72	-43,27	4019109,12
676	2019	-22,72	-43,27	4015064,88
677	2020	-22,72	-43,27	3814229,88
678	2021	-22,72	-43,27	3945565,08
679	2022	-22,72	-43,27	4335560,64
680	2023	-22,72	-43,27	777129,48
681	1990	-22,72	-43,27	1312465,96
682	1991	-22,72	-43,27	1361129,9
683	1992	-22,72	-43,27	1434100,2
684	1993	-22,72	-43,27	1291672,85
685	1994	-22,72	-43,27	1224290,47
686	1995	-22,72	-43,27	1060881,9
687	1996	-22,72	-43,27	1486977,31
688	1997	-22,72	-43,27	1282230,95
689	1998	-22,72	-43,27	1565721,17
690	1999	-22,72	-43,27	1584876,41
691	2000	-22,72	-43,27	1406742,61
692	2001	-22,72	-43,27	1450557,42
693	2002	-22,72	-43,27	1461215,99
694	2003	-22,72	-43,27	1484882,1
695	2004	-22,72	-43,27	1654384,55
696	2005	-22,72	-43,27	1615121,82
697	2006	-22,72	-43,27	1656510,7
698	2007	-22,72	-43,27	1588913,95
699	2008	-22,72	-43,27	1683232,72
700	2009	-22,72	-43,27	1578616,26
701	2010	-22,72	-43,27	1673817,08
