ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
81	Produção cimento	Ceará	5	Pecém	2015	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	577943,8444	t clínquer
82	Produção cimento	Ceará	5	Sobral	2015	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	577943,8444	t clínquer
83	Produção cimento	Ceará	5	Pecém	2016	APODI, Pecém  - CE	-3,666527	-39	549275,6889	t clínquer
84	Produção cimento	Ceará	5	Quixeré	2016	APODI ,Quixeré - CE	-5,042383	-38	549275,6889	t clínquer
85	Produção cimento	Ceará	5	Barbalha	2016	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	549275,6889	t clínquer
86	Produção cimento	Ceará	5	Pecém	2016	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	549275,6889	t clínquer
87	Produção cimento	Ceará	5	Sobral	2016	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	549275,6889	t clínquer
88	Produção cimento	Ceará	5	Pecém	2017	APODI, Pecém  - CE	-3,666527	-39	523931,7778	t clínquer
89	Produção cimento	Ceará	5	Quixeré	2017	APODI ,Quixeré - CE	-5,042383	-38	523931,7778	t clínquer
90	Produção cimento	Ceará	5	Barbalha	2017	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	523931,7778	t clínquer
91	Produção cimento	Ceará	5	Pecém	2017	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	523931,7778	t clínquer
92	Produção cimento	Ceará	5	Sobral	2017	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	523931,7778	t clínquer
93	Produção cimento	Ceará	5	Pecém	2018	APODI, Pecém  - CE	-3,666527	-39	488982,8667	t clínquer
94	Produção cimento	Ceará	5	Quixeré	2018	APODI ,Quixeré - CE	-5,042383	-38	488982,8667	t clínquer
95	Produção cimento	Ceará	5	Barbalha	2018	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	488982,8667	t clínquer
96	Produção cimento	Ceará	5	Pecém	2018	VOTORANTIM CIMENTOS, Pecém - CE	-3,653844	-39	488982,8667	t clínquer
97	Produção cimento	Ceará	5	Sobral	2018	VOTORANTIM CIMENTOS, Sobral - CE	-3,690606	-40	488982,8667	t clínquer
98	Produção cimento	Ceará	5	Pecém	2019	APODI, Pecém  - CE	-3,666527	-39	488356,2	t clínquer
99	Produção cimento	Ceará	5	Quixeré	2019	APODI ,Quixeré - CE	-5,042383	-38	488356,2	t clínquer
100	Produção cimento	Ceará	5	Barbalha	2019	NASSAU (Grupo João Santos), Barbalha - CE	-7,333723	-39,305889	488356,2	t clínquer
